story,sentence,TP,FP,FN,precision,recall,f1
story_113,party mulan dragon has as party member mulan dragon.,1,0,0,1.0,1.0,1.0
story_114,party roxas engages in the fight fight roxas vs axel.,1,0,0,1.0,1.0,1.0
story_115,party roxas engages in the fight fight roxas vs twilight thorn.,1,0,0,1.0,1.0,1.0
story_116,party roxas has as party member roxas.,1,0,0,1.0,1.0,1.0
story_117,party saix engages in the fight fight sora vs saix.,1,0,0,1.0,1.0,1.0
story_118,party saix has as party member saïx.,1,0,0,1.0,1.0,1.0
story_119,party sephiroth engages in the fight fight sora vs sephiroth.,1,0,0,1.0,1.0,1.0
story_120,party sephiroth has as party member sephiroth.,1,0,0,1.0,1.0,1.0
story_121,party sora engages in the fight fight sora vs axel.,1,0,0,1.0,1.0,1.0
story_122,party sora engages in the fight fight sora vs demyx.,1,0,0,1.0,1.0,1.0
story_123,party sora engages in the fight fight sora vs ghost pirate.,1,0,0,1.0,1.0,1.0
story_124,party sora engages in the fight fight sora vs groundshaker.,1,0,0,1.0,1.0,1.0
story_125,party sora engages in the fight fight sora vs luxord.,1,0,0,1.0,1.0,1.0
story_126,party sora engages in the fight fight sora vs mulan dragon.,1,0,0,1.0,1.0,1.0
story_127,party sora engages in the fight fight sora vs saix.,1,0,0,1.0,1.0,1.0
story_128,party sora engages in the fight fight sora vs sephiroth.,1,0,0,1.0,1.0,1.0
story_129,party sora engages in the fight fight sora vs xaldin.,1,0,0,1.0,1.0,1.0
story_130,party sora engages in the fight fight sora vs xemnas.,1,0,0,1.0,1.0,1.0
story_131,party sora engages in the fight fight sora vs xigbar.,1,0,0,1.0,1.0,1.0
story_132,party sora has as party member donald.,1,0,0,1.0,1.0,1.0
story_133,party sora has as party member goofy.,1,0,0,1.0,1.0,1.0
story_134,party sora has as party member sora.,1,0,0,1.0,1.0,1.0
story_135,party sora riku engages in the fight fight sora riku vs xemnas final.,1,0,0,1.0,1.0,1.0
story_136,party sora riku has as party member riku.,1,0,0,1.0,1.0,1.0
story_137,party sora riku has as party member sora.,1,0,0,1.0,1.0,1.0
story_138,party twilight thorn engages in the fight fight roxas vs twilight thorn.,1,0,0,1.0,1.0,1.0
story_139,party twilight thorn has as party member twilight thorn.,1,0,0,1.0,1.0,1.0
story_140,party xaldin engages in the fight fight sora vs xaldin.,1,0,0,1.0,1.0,1.0
story_141,party xaldin has as party member xaldin.,1,0,0,1.0,1.0,1.0
story_142,party xemnas engages in the fight fight sora vs xemnas.,1,0,0,1.0,1.0,1.0
story_143,party xemnas final engages in the fight fight sora riku vs xemnas final.,1,0,0,1.0,1.0,1.0
story_144,party xemnas final has as party member xemnas final form.,1,0,0,1.0,1.0,1.0
story_145,party xemnas has as party member xemnas.,1,0,0,1.0,1.0,1.0
story_146,party xigbar engages in the fight fight sora vs xigbar.,1,0,0,1.0,1.0,1.0
story_147,party xigbar has as party member xigbar.,1,0,0,1.0,1.0,1.0
story_148,pence appears in twilight town.,1,0,0,1.0,1.0,1.0
story_149,pence comes from twilight town.,1,0,0,1.0,1.0,1.0
story_150,pence is friends with olette.,1,0,0,1.0,1.0,1.0
story_151,pence is friends with roxas.,1,0,0,1.0,1.0,1.0
story_152,riku appears in castle oblivion.,1,0,0,1.0,1.0,1.0
story_153,riku appears in destiny islands.,1,0,0,1.0,1.0,1.0
story_154,riku comes from destiny islands.,1,0,0,1.0,1.0,1.0
story_155,riku is friends with sora.,1,0,0,1.0,1.0,1.0
story_156,riku owns the keyblade way to dawn.,1,0,0,1.0,1.0,1.0
story_157,roxas comes from twilight town.,1,0,0,1.0,1.0,1.0
story_158,roxas defeats axel.,1,0,0,1.0,1.0,1.0
story_159,roxas defeats basic.,1,0,0,1.0,1.0,1.0
story_160,roxas defeats twilight thorn.,1,0,0,1.0,1.0,1.0
story_161,roxas is friends with axel.,1,0,0,1.0,1.0,1.0
story_162,roxas owns the keyblade kingdom chain.,1,0,0,1.0,1.0,1.0
story_163,roxas owns the keyblade lucky charm.,1,0,0,1.0,1.0,1.0
story_164,roxas owns the keyblade memory skyscraper.,1,0,0,1.0,1.0,1.0
story_165,saïx is a member of organization13.,1,0,0,1.0,1.0,1.0
story_166,sephiroth appears in radiant garden.,1,0,0,1.0,1.0,1.0
story_167,sephiroth comes from radiant garden.,1,0,0,1.0,1.0,1.0
story_168,shadow drops potion.,1,0,0,1.0,1.0,1.0
story_169,sora appears in agrabah.,1,0,0,1.0,1.0,1.0
story_170,sora appears in beast castle.,1,0,0,1.0,1.0,1.0
